Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
The Highwaymen,Crime drama,"March 29, 2019",131,6.9,English,54216,23-02-2023
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,"May 23, 2019",30,6.9,English,238789,23-02-2023
The Meyerowitz Stories (New and Selected),Comedy-drama,"October 13, 2017",112,6.9,English,48297,23-02-2023
Feminists: What Were They Thinking?,Documentary,"October 12, 2018",86,7,English,494819,23-02-2023
Gaga: Five Foot Two,Documentary,"September 22, 2017",100,7,English,382459,23-02-2023
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,"November 3, 2020",14,7,English,711223,23-02-2023
Kingdom of Us,Documentary,"October 13, 2017",109,7,English,81301,23-02-2023
