Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
Dolly Kitty and Those Twinkling Stars,Drama,18-09-2020,120,5.4,Hindi,9247,03-02-2023
Outside the Wire,Action/Science fiction,15-01-2021,114,5.4,English,202973,03-02-2023
Ghosts of Sugar Land,Documentary,16-10-2019,21,5.5,English,486338,03-02-2023
Ride or Die,Psychological thriller drama,15-04-2021,142,5.5,Japanese,192968,03-02-2023
The Decline,Thriller,27-03-2020,83,5.9,French,12193,03-02-2023
Unknown Origins,Thriller,28-08-2020,96,6.1,Spanish,11091,03-02-2023
High Flying Bird,Sports-drama,08-02-2019,90,6.2,,21178,03-02-2023
1922,Horror/Crime drama,20-10-2017,102,6.3,English,21715,03-02-2023
Feel the Beat,Family/Comedy-drama,19-06-2020,107,6.3,English,547386,03-02-2023
