Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
The Open House,Horror thriller,19-01-2018,94,3.2,English,60545,21-01-2023
Searching for Sheela,Documentary,22-04-2021,58,4.1,English,232072,21-01-2023
The Last Thing He Wanted,Political thriller,21-02-2020,115,4.3,English,150823,21-01-2023
Thunder Force,Superhero-Comedy,09-04-2021,105,4.4,English,127553,21-01-2023
I Am the Pretty Thing That Lives in the House,Horror,28-10-2016,89,4.6,English,126030,21-01-2023
IO,Science fiction/Drama,18-01-2019,95,4.7,English,122853,21-01-2023
Mrs. Serial Killer,Thriller,01-05-2020,106,4.8,Hindi,395025,21-01-2023
Holiday Rush,Family film,28-11-2019,94,4.9,English,20221,21-01-2023
Cadaver,Horror,22-10-2020,86,5.1,Norwegian,137608,21-01-2023
American Factory: A Conversation with the Obamas ,Aftershow / Interview,21-08-2019,10,5.2,English,39784,21-01-2023
Handsome: A Netflix Mystery Movie,Comedy,05-05-2017,81,5.2,English,43977,21-01-2023
"Strip Down, Rise Up",Documentary,05-02-2021,112,5.2,English,1583625,21-01-2023
Gunjan Saxena: The Kargil Girl,Drama,12-08-2020,112,5.3,Hindi,935408,21-01-2023
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,15-10-2020,98,5.4,English,516895,21-01-2023
In the Tall Grass,Horror,04-10-2019,101,5.4,English,570814,21-01-2023
Been So Long,Musical,26-10-2018,100,5.5,English,1004,21-01-2023
Mute,Science fiction/Mystery,23-02-2018,126,5.5,English,30761,21-01-2023
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,06-07-2018,83,5.5,English,53183,21-01-2023
Bomb Scared,Black comedy,12-10-2017,89,5.6,,255483,21-01-2023
"Love, Guaranteed",Romantic comedy,03-09-2020,91,5.6,English,109756,21-01-2023
The Paramedic,Thriller,16-09-2020,94,5.6,Spanish,386102,21-01-2023
Caught by a Wave,Romantic teen drama,25-03-2021,99,5.7,Italian,246360,21-01-2023
Good Sam,Drama,16-05-2019,89,5.7,English,442082,21-01-2023
Point Blank,Action,12-07-2019,86,5.7,English,243230,21-01-2023
The Woman in the Window,Psychological thriller,14-05-2021,100,5.7,English,396714,21-01-2023
A California Christmas,Romantic comedy,14-12-2020,107,5.8,English,552298,21-01-2023
Candy Jar,Comedy,27-04-2018,92,5.8,English,39723,21-01-2023
Happy Anniversary,Romantic comedy,30-03-2018,78,5.8,English,72778,21-01-2023
Operation Christmas Drop,Romantic comedy,05-11-2020,96,5.8,English,143069,21-01-2023
Rodney King,One-man show,28-04-2017,52,5.8,English,368912,21-01-2023
The After Party,Comedy,24-08-2018,89,5.8,English,22389,21-01-2023
What We Wanted,Drama,11-11-2020,93,5.8,German,106364,21-01-2023
Amateur,Sports-drama,06-04-2018,96,5.9,English,22107,21-01-2023
Horse Girl,Drama,07-02-2020,104,5.9,English,532353,21-01-2023
Forgive Us Our Debts,Drama,04-05-2018,104,6,Italian,227912,21-01-2023
Murder Mystery,Comedy mystery,14-06-2019,97,6,English,531112,21-01-2023
6 Underground,Action,13-12-2019,128,6.1,English,61098,21-01-2023
Finding 'Ohana,Family,29-01-2021,123,6.1,English,19660,21-01-2023
Lost Girls,Crime drama,13-03-2020,95,6.1,English,498879,21-01-2023
Stuck Apart,Drama,08-01-2021,96,6.1,Turkish,377336,21-01-2023
The Most Hated Woman in America,Biopic,24-03-2017,92,6.1,English,96852,21-01-2023
Citation,Drama,06-11-2020,151,6.2,English,14708,21-01-2023
The Land of Steady Habits,Drama,14-09-2018,98,6.2,English,69823,21-01-2023
Bright,Urban fantasy,22-12-2017,117,6.3,English,298651,21-01-2023
Porta dos Fundos: The Last Hangover,Comedy,21-12-2018,44,6.3,Portuguese,36312,21-01-2023
Sand Castle,War,21-04-2017,113,6.3,English,591023,21-01-2023
Time to Hunt,Thriller,23-04-2020,134,6.3,Korean,26508,21-01-2023
To All the Boys: Always and Forever,Romantic comedy,12-02-2021,109,6.3,English,726,21-01-2023
Como Caído del Cielo,Musical comedy,24-12-2019,112,6.4,Spanish,34523,21-01-2023
First Match,Sports-drama,30-03-2018,102,6.4,English,302268,21-01-2023
Layla Majnun,Romantic drama,11-02-2021,119,6.4,Indonesian,295554,21-01-2023
Murder to Mercy: The Cyntoia Brown Story,Documentary,29-04-2020,97,6.4,English,67033,21-01-2023
Take Your Pills,Documentary,16-03-2018,87,6.4,English,237221,21-01-2023
The Heartbreak Club,Comedy-drama,14-01-2021,101,6.4,Indonesian,103150,21-01-2023
When We First Met,Romantic comedy,09-02-2018,97,6.4,English,300803,21-01-2023
A 3 Minute Hug,Documentary,28-10-2019,28,6.5,English/Spanish,95960,21-01-2023
Dolly Parton: A MusiCares Tribute,Documentary,07-04-2021,55,6.5,English,43085,21-01-2023
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,26-06-2020,123,6.5,English,34248,21-01-2023
Mowgli: Legend of the Jungle,Adventure,07-12-2018,104,6.5,,115,21-01-2023
What Did Jack Do?,Drama / Short,20-01-2020,17,6.5,English,92329,21-01-2023
Bad Trip,Hidden-camera prank comedy,26-03-2021,86,6.6,English,220664,21-01-2023
Recovery Boys,Documentary,29-06-2018,89,6.6,English,59958,21-01-2023
ReMastered: Who Killed Jam Master Jay?,Documentary,07-12-2018,58,6.6,English,44471,21-01-2023
A Whisker Away,Anime/Fantasy,18-06-2020,104,6.7,Japanese,89059,21-01-2023
Extraction,Action,24-04-2020,117,6.7,English,38430,21-01-2023
Giving Voice,Documentary,11-12-2020,90,6.7,English,312495,21-01-2023
Hillbilly Elegy,Drama,24-11-2020,117,6.7,English,31776,21-01-2023
Night in Paradise,Drama,09-04-2021,132,6.7,Korean,45867,21-01-2023
A Secret Love,Documentary,29-04-2020,82,7.9,English,290559,21-01-2023
Icarus,Documentary,04-08-2017,120,7.9,English,239772,21-01-2023
Klaus,Animation/Christmas/Comedy/Adventure,15-11-2019,97,8.2,English,374044,21-01-2023
When We First Met,Romantic comedy,09-02-2018,97,6.4,English,300803,21-01-2023
Caught by a Wave,Romantic teen drama,25-03-2021,99,5.7,Italian,246360,21-01-2023
Good Sam,Drama,16-05-2019,89,5.7,English,442082,21-01-2023
Point Blank,Action,12-07-2019,86,5.7,English,243230,21-01-2023
Seaspiracy,Documentary,24-03-2021,89,8.2,English,11900,21-01-2023
