Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
The App,Science fiction/Drama,26-12-2019,79,2.6,Italian,157606,15-01-2023
Sardar Ka Grandson,Comedy,18-05-2021,139,4.1,Hindi,192177,15-01-2023
Ghost Stories,Horror anthology,01-01-2020,144,4.3,Hindi,211760,15-01-2023
The Girl on the Train,Thriller,26-02-2021,120,4.4,Hindi,38552,15-01-2023
After Maria,Documentary,24-05-2019,37,4.6,English/Spanish,48123,15-01-2023
Finding Agnes,Drama,30-11-2020,105,4.7,Filipino,293732,15-01-2023
Coin Heist,Heist,06-01-2017,97,4.8,English,2791414,15-01-2023
Fearless,Animation/Superhero,14-08-2020,89,4.9,English,41362,15-01-2023
Squared Love,Romantic comedy,11-02-2021,102,5,Polish,3739,15-01-2023
#REALITYHIGH,Comedy,08-09-2017,99,5.2,English,440209,15-01-2023
Girlfriend's Day,Comedy,14-02-2017,70,5.2,English,39134,15-01-2023
Still Laugh-In: The Stars Celebrate,Variety show,14-05-2019,60,5.2,English,147717,15-01-2023
Dangerous Lies,Thriller,30-04-2020,97,5.3,English,27869,15-01-2023
XOXO,Drama,26-08-2016,92,5.3,English,106463,15-01-2023
Guilty,Thriller,06-03-2020,119,5.4,Hindi,108836,15-01-2023
Squared Love,Romantic comedy,11-02-2021,102,5,Polish,3739,15-01-2023
A Very Murray Christmas,Comedy / Musical,04-12-2015,56,5.5,English,117590,15-01-2023
Love Wedding Repeat,Romantic comedy,10-04-2020,100,5.5,English,590595,15-01-2023
The Knight Before Christmas,Romantic comedy,21-11-2019,92,5.5,English,362093,15-01-2023
Wine Country,Comedy,10-05-2019,103,5.5,English,198243,15-01-2023
Hold the Dark,Thriller,28-09-2018,125,5.6,English,50953,15-01-2023
The Midnight Sky,Science fiction,23-12-2020,118,5.6,English,660286,15-01-2023
A Week Away,Christian musical,26-03-2021,97,5.7,English,34184,15-01-2023
Ginny Weds Sunny,Romantic comedy,09-10-2020,125,5.7,Hindi,410249,15-01-2023
"Out of Many, One",Documentary,12-12-2018,34,5.7,English,4299,15-01-2023
The Holiday Calendar,Romantic comedy,02-11-2018,95,5.7,English,400519,15-01-2023
45153,Comedy-drama,29-03-2019,124,5.8,Marathi,6946,15-01-2023
Barry,Biopic,16-12-2016,104,5.8,English,156567,15-01-2023
Extinction,Science fiction/Thriller,27-07-2018,95,5.8,English,332476,15-01-2023
Mascots,Mockumentary,13-10-2016,95,5.8,English,451894,15-01-2023
Rising High,Satire,17-04-2020,94,5.8,German,137203,15-01-2023
TAU,Science fiction/Thriller,29-06-2018,97,5.8,English,1176,15-01-2023
The Perfect Date,Romantic comedy,12-04-2019,89,5.8,English,461509,15-01-2023
A Fall from Grace,Thriller,17-01-2020,120,5.9,English,268282,15-01-2023
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,16-07-2019,32,5.9,English,459304,15-01-2023
The Prom,Musical,11-12-2020,132,5.9,English,70504,15-01-2023
Come Sunday,Biopic,13-04-2018,106,6,English,26089,15-01-2023
Juanita,Drama,08-03-2019,90,6,English,114290,15-01-2023
The Kissing Booth,Romantic comedy,11-05-2018,105,6,English,542362,15-01-2023
War Machine,War-Comedy,26-05-2017,122,6,English,456749,15-01-2023
Deidra & Laney Rob a Train,Drama,17-03-2017,94,6.1,English,334867,15-01-2023
Like Father,Comedy,03-08-2018,103,6.1,English,2382,15-01-2023
Sergio,Biopic,17-04-2020,118,6.1,English,66766,15-01-2023
The Lovebirds,Romantic comedy,22-05-2020,87,6.1,English,530881,15-01-2023
Below Zero,Drama,29-01-2021,106,6.2,Spanish,382910,15-01-2023
Spenser Confidential,Action comedy,06-03-2020,111,6.2,English,422290,15-01-2023
Benji,Family film,16-03-2018,87,6.3,English,75137,15-01-2023
Polar,Action,25-01-2019,118,6.3,English,329683,15-01-2023
The Outsider,Crime drama,09-03-2018,120,6.3,English/Japanese,150121,15-01-2023
Birders,Documentary,25-09-2019,37,6.4,English/Spanish,20514,15-01-2023
John Was Trying to Contact Aliens,Documentary,20-08-2020,16,6.4,English,218996,15-01-2023
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,27-09-2019,41,6.4,English,59886,15-01-2023
Wheelman,Action thriller,20-10-2017,82,6.4,English,81429,15-01-2023
Da 5 Bloods,War drama,12-06-2020,155,6.5,English,62885,15-01-2023
Monster,Drama,07-05-2021,98,6.5,English,564364,15-01-2023
Tramps,Romance,21-04-2017,83,6.5,English,406219,15-01-2023
Milestone,Drama,07-05-2021,98,6.6,Hindi,171970,15-01-2023
What Would Sophia Loren Do?,Documentary,15-01-2021,32,6.6,English,409403,15-01-2023
"Crack: Cocaine, Corruption & Conspiracy",Documentary,11-01-2021,89,6.7,English,335531,15-01-2023
Moxie,Drama,03-03-2021,111,6.7,English,169083,15-01-2023
The Trial of the Chicago 7,Drama,16-10-2020,130,7.8,English,171169,15-01-2023
Disclosure: Trans Lives on Screen,Documentary,19-06-2020,107,8.2,English,159582,15-01-2023
ReMastered: The Miami Showband Massacre,Documentary,22-03-2019,70,7,English,453179,15-01-2023
Pieces of a Woman,Drama,07-01-2021,126,7.1,English,337835,15-01-2023
Okja,Action-adventure,28-06-2017,121,7.3,English/Korean,398972,15-01-2023
Blackpink: Light Up the Sky,Documentary,14-10-2020,79,7.5,Korean,352698,15-01-2023
The Bleeding Edge,Documentary,27-07-2018,100,7.6,English,324898,15-01-2023
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,17-11-2017,94,7.7,English,96688,15-01-2023
Springsteen on Broadway,One-man show,16-12-2018,153,8.5,English,125129,15-01-2023
