Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
Paradox,Musical/Western/Fantasy,23-03-2018,73,3.9,English,7188,14-01-2023
After the Raid,Documentary,19-12-2019,25,4.3,Spanish,120259,14-01-2023
Sextuplets,Comedy,16-08-2019,99,4.4,English,11150,14-01-2023
5 Star Christmas,Comedy,07-12-2018,95,4.6,Italian,112813,14-01-2023
We Are One,Documentary,14-07-2020,86,4.6,French,1047747,14-01-2023
Christmas Crossfire,Thriller,04-12-2020,106,4.8,German,37033,14-01-2023
Earth and Blood,Action,17-04-2020,80,4.9,French,661608,14-01-2023
Rebirth,Thriller,15-07-2016,100,5,English,113322,14-01-2023
The Larva Island Movie,Animation,23-07-2020,90,5.1,English,913152,14-01-2023
Ghost Lab,Horror,26-05-2021,117,5.2,Thai,78079,14-01-2023
See You Yesterday,Science fiction,17-05-2019,87,5.2,English,552027,14-01-2023
Back to School,Comedy,30-08-2019,83,5.3,French,455169,14-01-2023
Who Would You Take to a Deserted Island?,Drama,12-04-2019,93,5.3,Spanish,342429,14-01-2023
"Game Over, Man!",Action/Comedy,23-03-2018,101,5.4,English,937414,14-01-2023
Under the Riccione Sun,Romantic teenage drama,01-07-2020,101,5.4,Italian,1954,14-01-2023
Kevin Hart's Guide to Black History,Variety show,08-02-2019,63,5.5,English,637104,14-01-2023
The Cloverfield Paradox,Science fiction,04-02-2018,102,5.5,English,101058,14-01-2023
Unicorn Store,Comedy,05-04-2019,92,5.5,English,1222645,14-01-2023
Falling Inn Love,Romantic comedy,29-08-2019,97,5.6,English,499424,14-01-2023
The Last Paradiso,Romantic drama,05-02-2021,107,5.6,Italian,200090,14-01-2023
Why Did You Kill Me?,Documentary,14-04-2021,83,5.6,English,526324,14-01-2023
Eli,Horror,18-10-2019,98,5.7,English,47694,14-01-2023
One Take,Documentary,18-06-2020,85,5.7,Thai,735604,14-01-2023
The Do-Over,Action comedy,27-05-2016,108,5.7,English,97618,14-01-2023
Yes Day,Comedy,12-03-2021,86,5.7,English,5926,14-01-2023
American Son,Drama,01-11-2019,90,5.8,English,361449,14-01-2023
Class of '83,Drama,21-08-2020,98,5.8,Hindi,308981,14-01-2023
Let It Snow,Romantic comedy,08-11-2019,92,5.8,English,390531,14-01-2023
Rich in Love,Romantic comedy,30-04-2020,105,5.8,Portuguese,321442,14-01-2023
Special Correspondents,Satire,29-04-2016,100,5.8,English,117018,14-01-2023
The Kissing Booth 2,Romantic comedy,24-07-2020,131,5.8,English,97454,14-01-2023
6 Balloons,Drama,06-04-2018,75,5.9,English,1445,14-01-2023
Earthquake Bird,Mystery,15-11-2019,107,5.9,English,3799,14-01-2023
The Polka King,Comedy-drama,12-01-2018,95,5.9,English,737719,14-01-2023
Ultras,Sports film,20-03-2020,108,5.9,Italian,5435,14-01-2023
Lovefucked,Drama,09-08-2019,106,6,Hindi,161396,14-01-2023
The Christmas Chronicles: Part Two,Christmas comedy,25-11-2020,115,6,English,73568,14-01-2023
To All the Boys: P.S. I Still Love You,Romantic comedy,12-02-2020,102,6,English,1703,14-01-2023
Casting JonBenet,Documentary,28-04-2017,80,6.1,English,348551,14-01-2023
Hot Girls Wanted,Documentary,29-05-2015,84,6.1,,268877,14-01-2023
Rogue City,Crime drama,30-10-2020,116,6.1,French,257472,14-01-2023
The Killer,Western,10-11-2017,99,6.1,Portuguese,4895,14-01-2023
7 años,Drama,28-10-2016,76,6.8,Spanish,31913,14-01-2023
Calibre,Thriller,29-06-2018,101,6.8,English,26587,14-01-2023
The Boys in the Band,Drama,30-09-2020,121,6.8,English,226661,14-01-2023
Amanda Knox,Documentary,30-09-2016,92,6.9,English,48161,14-01-2023
Spelling the Dream,Documentary,03-06-2020,83,6.9,English,122185,14-01-2023
