Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
Baggio: The Divine Ponytail,Biopic,26-05-2021,92,6.2,Italian,257426,03-02-2023
Octonauts & the Caves of Sac Actun,Animation,14-08-2020,72,6.2,English,342183,03-02-2023
Someone Great,Romantic comedy,19-04-2019,92,6.2,English,210349,03-02-2023
Apostle,Horror-thriller,12-10-2018,129,6.3,English,53441,03-02-2023
June & Kopi,Drama,28-01-2021,90,6.3,Indonesian,52144,03-02-2023
Notes for My Son,Drama,24-11-2020,83,6.3,Spanish,280110,03-02-2023
Shimmer Lake,Crime thriller,09-06-2017,86,6.3,English,492324,03-02-2023
The Discovery,Science fiction/Drama,31-03-2017,102,6.3,English,110773,03-02-2023
The Legend of Cocaine Island,Documentary,29-03-2019,87,6.3,English,30405,03-02-2023
Travis Scott: Look Mom I Can Fly,Documentary,28-08-2019,85,6.3,English,58782,03-02-2023
Uncorked,Drama,27-03-2020,103,6.3,English,226631,03-02-2023
ARQ,Science fiction/Thriller,16-09-2016,88,6.4,English,577010,03-02-2023
Fractured,Thriller,11-10-2019,100,6.4,English,43929,03-02-2023
Isi & Ossi,Romantic comedy,14-02-2020,113,6.4,German,249425,03-02-2023
Nappily Ever After,Comedy-drama,21-09-2018,98,6.4,English,69509,03-02-2023
Strong Island,Documentary,15-09-2017,107,6.4,English,193479,03-02-2023
The Mars Generation,Documentary,05-05-2017,97,6.4,English,132580,03-02-2023
The Willoughbys,Animation/Comedy/Adventure,22-04-2020,90,6.4,English,385325,03-02-2023
Walk. Ride. Rodeo.,Drama,08-03-2019,99,6.4,English,1263,03-02-2023
All the Bright Places,Romance,28-02-2020,108,6.5,English,6160,03-02-2023
Antoine Griezmann: The Making of a Legend,Documentary,21-03-2019,60,6.5,French,510100,03-02-2023
Chopsticks,Comedy,31-05-2019,100,6.5,Hindi,12643,03-02-2023
Gerald's Game,Horror thriller,29-09-2017,103,6.5,English,353305,03-02-2023
His House,Thriller,30-10-2020,93,6.5,,352801,03-02-2023
Lust Stories,Drama,15-06-2018,120,6.5,Hindi,18201,03-02-2023
Nobody Knows I'm Here,Drama,24-06-2020,91,6.5,Spanish,271301,03-02-2023
Oxygen,Science fiction thriller,12-05-2021,101,6.5,French,217464,03-02-2023
Tigertail,Drama,10-04-2020,91,6.5,English/Taiwanese/Mandarin,36322,03-02-2023
Bird Box,Psychological thriller,21-12-2018,124,6.6,English,379088,03-02-2023
Elisa & Marcela,Romance,07-06-2019,118,6.6,Spanish,1396,03-02-2023
It Takes a Lunatic,Documentary,25-10-2019,126,6.6,English,45579,03-02-2023
Shawn Mendes: In Wonder,Documentary,23-11-2020,83,6.6,English,299718,03-02-2023
Space Sweepers,Science fiction,05-02-2021,136,6.6,,327838,03-02-2023
The Red Sea Diving Resort,Spy thriller,31-07-2019,130,6.6,English,417663,03-02-2023
Ajeeb Daastaans,Drama,16-04-2021,142,6.7,Hindi,677044,03-02-2023
"Bikram: Yogi, Guru, Predator",Documentary,20-11-2019,86,6.7,English,286582,03-02-2023
CounterPunch ,Documentary,16-06-2017,91,6.7,English,11702,03-02-2023
Hope Frozen: A Quest to Live Twice,Documentary,15-09-2020,80,6.7,Thia/English,7583,03-02-2023
Imperial Dreams,Drama,03-02-2017,87,6.7,English,135706,03-02-2023
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,07-02-2017,54,6.7,English,84016,03-02-2023
Paper Lives,Drama,12-03-2021,97,6.7,Turkish,217938,03-02-2023
Tallulah,Comedy-drama,29-07-2016,111,6.7,English,154647,03-02-2023
Road to Roma,Making-of,11-02-2020,72,7.7,Spanish,90372,03-02-2023
The Irishman,Crime drama,27-11-2019,209,7.8,English,133113,03-02-2023
Marriage Story,Drama,06-12-2019,136,7.9,English,47804,03-02-2023
Chasing Coral ,Documentary,14-07-2017,89,8.1,English,26521,03-02-2023
13th,Documentary,07-10-2016,100,8.2,English,150353,03-02-2023
