Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
Alien Xmas,Stop Motion,20-11-2020,42,6.2,English,148949,08-02-2023
Lost Bullet,Thriller,19-06-2020,92,6.2,French,139831,08-02-2023
Roxanne Roxanne,Biopic,23-03-2018,98,6.2,English,611563,08-02-2023
Alex Strangelove,Romantic comedy,08-06-2018,99,6.3,English,59312,08-02-2023
I Am Not an Easy Man,Romantic comedy,13-04-2018,98,6.3,French,432046,08-02-2023
Nail Bomber: Manhunt,Documentary,26-05-2021,72,6.3,English,410125,08-02-2023
The Babysitter,Teen comedy horror,13-10-2017,85,6.3,English,220236,08-02-2023
The Laundromat,Comedy-drama,18-10-2019,98,6.3,English,204874,08-02-2023
"Ariana Grande: Excuse Me, I Love You",Concert Film,21-12-2020,97,6.4,English,96114,08-02-2023
Irreplaceable You,Drama,16-02-2018,96,6.4,English,400682,08-02-2023
My Own Man,Documentary,13-12-2014,81,6.4,English,105619,08-02-2023
Street Flow,Drama,12-10-2019,96,6.4,French,40311,08-02-2023
The Occupant,Thriller,25-03-2020,103,6.4,Spanish,385598,08-02-2023
Two Catalonias,Documentary,28-09-2018,116,6.4,Spanish/Catalan,73093,08-02-2023
Altered Carbon: Resleeved,Anime/Science fiction,19-03-2020,74,6.5,Japanese,319025,08-02-2023
Chadwick Boseman: Portrait of an Artist,Documentary,17-04-2021,21,6.5,English,37975,08-02-2023
Life Overtakes Me,Documentary,14-06-2019,40,6.5,English/Swedish,339722,08-02-2023
Nobody Speak: Trials of the Free Press,Documentary,23-06-2017,95,6.5,English,93764,08-02-2023
The Incredible Jessica James,Comedy,28-07-2017,83,6.5,,173320,08-02-2023
Crazy About Her,Romantic comedy,26-02-2021,102,6.6,Spanish,320323,08-02-2023
I'm Thinking of Ending Things,Psychological thriller,04-09-2020,134,6.6,English,33352,08-02-2023
The Crimes That Bind,Crime drama,20-08-2020,99,6.6,Spanish,14248,08-02-2023
Arlo the Alligator Boy,Animated musical comedy,16-04-2021,92,6.7,English,194329,08-02-2023
Blue Miracle,Drama,27-05-2021,95,6.7,English,28326,08-02-2023
Malcolm & Marie,Romantic drama,05-02-2021,106,6.7,English,137568,08-02-2023
Parchis: The Documentary,Documentary,10-07-2019,106,6.7,Spanish,266508,08-02-2023
Tony Robbins: I Am Not Your Guru,Documentary,15-07-2016,116,6.7,English,221117,08-02-2023
If Anything Happens I Love You,Animation / Short,20-11-2020,12,7.8,English,283282,08-02-2023
Struggle: The Life and Lost Art of Szukaiski,Documentary,21-12-2018,105,8,English,432461,08-02-2023
Rising Phoenix,Documentary,26-08-2020,106,8.1,English,110825,08-02-2023
