Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
The Highwaymen,Crime drama,06-04-2018,131,6.9,English,54216,16-02-2023
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,12-09-2018,30,6.9,English,238789,16-02-2023
The Meyerowitz Stories (New and Selected),Comedy-drama,07-09-2018,112,6.9,English,48297,16-02-2023
Feminists: What Were They Thinking?,Documentary,09-09-2020,86,7,English,494819,16-02-2023
Gaga: Five Foot Two,Documentary,12-10-2016,100,7,English,382459,16-02-2023
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,08-12-2020,14,7,English,711223,16-02-2023
Kingdom of Us,Documentary,07-09-2018,109,7,English,81301,16-02-2023
"Lorena, Light-Footed Woman",Documentary,09-09-2020,28,7,Spanish,58421,16-02-2023
Los Tigres del Norte at Folsom Prison,Documentary,12-09-2018,64,7,Spanish,156189,16-02-2023
Ma Rainey's Black Bottom,Drama,06-04-2018,94,7,English,214825,16-02-2023
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,12-09-2018,31,7,English,220771,16-02-2023
Operation Varsity Blues: The College Admissions Scandal,Documentary,07-09-2018,99,7,English,181521,16-02-2023
Pele,Documentary,09-09-2020,108,7,English,94977,16-02-2023
ReMastered: Devil at the Crossroads,Documentary,12-10-2016,48,7,English,156620,16-02-2023
Rose Island,Comedy,08-12-2020,117,7,Italian,52331,16-02-2023
