Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
Drive,Action,01-11-2019,147,3.5,Hindi,56036,02-02-2023
Whipped,Romantic comedy,18-09-2020,97,4.1,Indonesian,323118,02-02-2023
Death Note,Horror thriller,25-08-2017,100,4.4,English,340798,02-02-2023
Just Say Yes,Romantic comedy,02-04-2021,97,4.5,Dutch,76193,02-02-2023
Porta dos Fundos: The First Temptation of Christ,Comedy,03-12-2019,46,4.6,Portuguese,627797,02-02-2023
Sol Levante,Anime / Short,02-04-2020,4,4.7,English,120690,02-02-2023
Take the 10,Comedy,20-01-2017,80,4.8,English,5103,02-02-2023
Airplane Mode,Comedy,23-01-2020,96,5,Portuguese,1791916,02-02-2023
Coffee & Kareem,Action comedy,03-04-2020,88,5.1,English,35870,02-02-2023
Dolly Parton's Christmas on the Square,Christmas musical,22-11-2020,98,5.2,English,291147,02-02-2023
Ibiza,Comedy,25-05-2018,94,5.2,English,498821,02-02-2023
The Beast,Drama,27-11-2020,99,5.2,Italian,865134,02-02-2023
The Most Assassinated Woman in the World,Thriller,07-09-2018,102,5.3,French,162122,02-02-2023
Despite Everything,Comedy,03-05-2019,78,5.4,Spanish,34110,02-02-2023
Naked,Comedy,11-08-2017,96,5.4,English,7204,02-02-2023
Get the Grift,Comedy,28-04-2021,94,5.5,Portuguese,3712,02-02-2023
Red Dot,Thriller,11-02-2021,86,5.5,,48969,02-02-2023
Sarah Cooper: Everything's Fine,Variety show,27-10-2020,49,5.6,English,477276,02-02-2023
Dad Wanted,Family,11-09-2020,102,5.7,Spanish,1039115,02-02-2023
Maska,Romantic comedy,27-03-2020,111,5.9,Hindi,471815,02-02-2023
Tribhanga – Tedhi Medhi Crazy,Drama,15-01-2021,95,6.1,Hindi,416689,02-02-2023
Have You Ever Seen Fireflies?,Comedy,09-04-2021,114,6.2,Turkish,557965,02-02-2023
Win It All,Comedy,07-04-2017,88,6.2,English,581518,02-02-2023
Concrete Cowboy,Drama,02-04-2021,111,6.3,English,2384,02-02-2023
The Most Assassinated Woman in the World,Thriller,07-09-2018,102,5.3,French,162122,02-02-2023
