Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
Work It,Dance comedy,07-08-2020,93,6.1,English,205365,06-02-2023
In the Shadow of the Moon,Thriller,27-09-2019,115,6.2,English,50946,06-02-2023
Offering to the Storm,Thriller,24-07-2020,139,6.2,Spanish,330305,06-02-2023
A Tale of Two Kitchens,Documentary,22-05-2019,30,6.3,English/Spanish,90556,06-02-2023
Get the Goat,Comedy,18-03-2021,97,6.3,Portuguese,668651,06-02-2023
Music Teacher,Drama,19-04-2019,101,6.3,Hindi,4729,06-02-2023
Spectral,Science fiction/Action,09-12-2016,108,6.3,English,501769,06-02-2023
The Forest of Love,Drama,11-10-2019,151,6.3,Japanese,122838,06-02-2023
Anelka: Misunderstood,Documentary,05-08-2020,94,6.4,French,76327,06-02-2023
Over the Moon,Animation/Musical/Adventure,23-10-2020,95,6.4,English,57207,06-02-2023
Triple Frontier,Action-thriller,13-03-2019,125,6.4,English,199048,06-02-2023
All Together Now,Drama,28-08-2020,93,6.5,English,203096,06-02-2023
Canvas ,Animation / Short,11-12-2020,9,6.5,English,71149,06-02-2023
Jingle Jangle: A Christmas Journey,Family/Christmas musical,13-11-2020,119,6.5,English,207497,06-02-2023
Set It Up,Romantic comedy,15-06-2018,105,6.5,English,452369,06-02-2023
Bulbbul,Horror,24-06-2020,94,6.6,Hindi,96617,06-02-2023
I'll Sleep When I'm Dead,Documentary,19-08-2016,79,6.6,English,97679,06-02-2023
The American Meme,Documentary,07-12-2018,98,6.6,English,221600,06-02-2023
The Angel,Spy thriller,14-09-2018,114,6.6,English,223065,06-02-2023
Blame!,Anime/Science fiction,20-05-2017,106,6.7,Japanese,474320,06-02-2023
Just Another Christmas,Comedy,03-12-2020,101,6.7,Portuguese,175673,06-02-2023
Little Miss Sumo,Documentary,28-10-2019,19,6.7,Japanese,61812,06-02-2023
The Old Guard,Superhero/Action,10-07-2020,124,6.7,English,101092,06-02-2023
Roma,Drama,14-12-2018,135,7.7,Spanish,115355,06-02-2023
The Ivory Game,Documentary,04-11-2016,112,7.9,English,338369,06-02-2023
My Octopus Teacher,Documentary,07-09-2020,85,8.1,English,68654,06-02-2023
