Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
Enter the Anime,Documentary,05-08-2019,58,2.5,English/Japanese,757074,13-01-2023
The Last Days of American Crime,Heist film/Thriller,05-06-2020,149,3.7,,249014,13-01-2023
Mercy,Thriller,22-11-2016,90,4.2,English,8612111,13-01-2023
Secret Obsession,Thriller,18-07-2019,97,4.4,English,134213,13-01-2023
The Misadventures of Hedi and Cokeman,Comedy,10-02-2021,99,4.5,French,66540,13-01-2023
The Players,Comedy,15-07-2020,88,4.6,Italian,411656,13-01-2023
We Can Be Heroes,Superhero,25-12-2020,100,4.7,English,4961747,13-01-2023
The Ridiculous 6,Western,11-12-2015,119,4.8,English,987414,13-01-2023
Love Like the Falling Rain,Drama,15-10-2020,86,5,Indonesian,121103,13-01-2023
Geez & Ann,Romantic drama,25-02-2021,105,5.1,Indonesian,244474,13-01-2023
Firebrand,Drama,22-02-2019,112,5.2,Marathi,149791,13-01-2023
Sandy Wexler,Comedy,14-04-2017,131,5.2,English,959065,13-01-2023
A Christmas Prince: The Royal Wedding,Romantic comedy,30-11-2018,92,5.3,English,301249,13-01-2023
"To Each, Her Own",Romantic comedy,24-06-2018,95,5.3,French,187547,13-01-2023
Freaks: You're One of Us,Supernatural drama,02-09-2020,92,5.4,German,10181,13-01-2023
The Princess Switch: Switched Again,Romantic comedy,19-11-2020,97,5.4,English,115546,13-01-2023
House Arrest,Comedy,15-11-2019,104,5.5,Hindi,512,13-01-2023
Step Sisters,Comedy,19-01-2018,108,5.5,English,157026,13-01-2023
The Package,Black comedy,10-08-2018,94,5.5,English,10428,13-01-2023
Double Dad,Comedy-drama,15-01-2021,103,5.6,Portuguese,153481,13-01-2023
The Last Laugh,Comedy-drama,11-01-2019,98,5.6,English,318051,13-01-2023
Vampires vs. the Bronx,Horror comedy,02-10-2020,86,5.6,English,13004,13-01-2023
El Camino Christmas,Dark comedy,08-12-2017,89,5.7,English,33418,13-01-2023
Little Evil,Comedy horror,01-09-2017,94,5.7,English,50853,13-01-2023
Prime Time,Thriller,14-04-2021,91,5.7,Polish,1973,13-01-2023
Velvet Buzzsaw,Thriller,01-02-2019,112,5.7,English,373244,13-01-2023
All Day and a Night,Drama,01-05-2020,121,5.8,English,495106,13-01-2023
Choked: Paisa Bolta Hai,Drama,05-06-2020,114,5.8,Hindi,76935,13-01-2023
I Am All Girls,Thriller,14-05-2021,107,5.8,English,2127,13-01-2023
Rajma Chawal,Comedy-drama,30-11-2018,118,5.8,Hindi,337777,13-01-2023
Small Crimes,Dark comedy,28-04-2017,95,5.8,English,101781,13-01-2023
The Claus Family,Fantasy,07-12-2020,96,5.8,Dutch,11944,13-01-2023
You've Got This,Romantic comedy,02-10-2020,111,5.8,Spanish,27382,13-01-2023
Cam,Psychological horror,16-11-2018,94,5.9,English,547368,13-01-2023
The Minimalists: Less Is Now,Documentary,01-01-2021,53,5.9,English,79855,13-01-2023
True Memoirs of an International Assassin,Action comedy,11-11-2016,98,5.9,English,550011,13-01-2023
iBoy,Science fiction/Thriller,27-01-2017,90,6,English,23713,13-01-2023
Rebecca,Romantic thriller,21-10-2020,123,6,English,443584,13-01-2023
The Princess Switch,Romantic comedy,16-11-2018,101,6,English,7044,13-01-2023
Burning Sands,Drama,10-03-2017,102,6.1,English,136399,13-01-2023
Holiday in the Wild,Adventure-romance,01-11-2019,85,6.1,English,179450,13-01-2023
Pee-wee's Big Holiday,Adventure,18-03-2016,89,6.1,English,247926,13-01-2023
Tersanjung the Movie,Drama,01-04-2021,114,6.1,Indonesian,41446,13-01-2023
