Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
A Love Song for Latasha,Documentary,21-09-2020,19,6.8,English,1025587,09-02-2023
All in My Family,Documentary,03-05-2019,39,6.8,English/Mandarin,114482,09-02-2023
Always Be My Maybe,Romantic comedy,31-05-2019,102,6.8,English,112288,09-02-2023
Have a Good Trip: Adventures in Psychedelics,Documentary,11-05-2020,85,6.8,English,478240,09-02-2023
Heroin(e) ,Documentary,12-09-2017,39,6.8,,93972,09-02-2023
Mercury 13,Documentary,20-04-2018,79,6.8,English,410607,09-02-2023
The Other Side of the Wind,Drama,02-11-2018,122,6.8,English,74589,09-02-2023
The Trader,Documentary,09-02-2018,23,6.8,Georgian,502961,09-02-2023
To the Bone,Drama,14-07-2017,107,6.8,English,108306,09-02-2023
Cops and Robbers,Animation / Short,28-12-2020,7,6.9,English,202890,09-02-2023
I Don't Feel at Home in This World Anymore,Drama,24-02-2017,96,6.9,English,357213,09-02-2023
Laerte-se,Documentary,19-05-2017,100,6.9,Portuguese,155010,09-02-2023
Our Souls at Night,Romance,29-09-2017,103,6.9,,8914127,09-02-2023
Outlaw King,Historical-epic,09-11-2018,121,6.9,English,35003,09-02-2023
Pagglait,Comedy-drama,26-03-2021,114,6.9,Hindi,237887,09-02-2023
